date,description,url
"2018-07-13","Hacky Hour (2–&#xfeff;4pm)",jcu.edu.au
"2018-07-14","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-16","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-23","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-24","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-25","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-26","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-27","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-28","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-29","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-20","Hacky Hour (2–&#xfeff;4pm)",
"2018-07-30","Hacky Hour (2–&#xfeff;4pm)",
